"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Avon","0900302060","2011-2015","With SSI","Number","Social Security Status",2076
"Avon","0900302060","2011-2015","With SSI","Percent","Margins of Error",2.8
"Avon","0900302060","2011-2015","With SSI","Percent","Social Security Status",29.6
"Avon","0900302060","2012-2016","Total","Number","Margins of Error",157
"Avon","0900302060","2012-2016","Total","Number","Social Security Status",7106
"Avon","0900302060","2012-2016","Without SSI","Number","Margins of Error",188
"Avon","0900302060","2012-2016","Without SSI","Number","Social Security Status",4997
"Avon","0900302060","2012-2016","Without SSI","Percent","Margins of Error",3.1
"Avon","0900302060","2012-2016","Without SSI","Percent","Social Security Status",70.3
"Avon","0900302060","2012-2016","With SSI","Number","Margins of Error",165
"Avon","0900302060","2012-2016","With SSI","Number","Social Security Status",2109
"Avon","0900302060","2012-2016","With SSI","Percent","Margins of Error",2.4
"Avon","0900302060","2012-2016","With SSI","Percent","Social Security Status",29.7
"Barkhamsted","0900502760","2006-2010","Total","Number","Margins of Error",113
"Barkhamsted","0900502760","2006-2010","Total","Number","Social Security Status",1407
"Barkhamsted","0900502760","2006-2010","Without SSI","Number","Margins of Error",91
"Barkhamsted","0900502760","2006-2010","Without SSI","Number","Social Security Status",1076
"Barkhamsted","0900502760","2006-2010","Without SSI","Percent","Margins of Error",8.9
"Barkhamsted","0900502760","2006-2010","Without SSI","Percent","Social Security Status",76.5
"Barkhamsted","0900502760","2006-2010","With SSI","Number","Margins of Error",86
"Barkhamsted","0900502760","2006-2010","With SSI","Number","Social Security Status",331
"Barkhamsted","0900502760","2006-2010","With SSI","Percent","Margins of Error",6.4
"Barkhamsted","0900502760","2006-2010","With SSI","Percent","Social Security Status",23.5
"Barkhamsted","0900502760","2007-2011","Total","Number","Margins of Error",112
"Barkhamsted","0900502760","2007-2011","Total","Number","Social Security Status",1444
"Barkhamsted","0900502760","2007-2011","Without SSI","Number","Margins of Error",99
"Barkhamsted","0900502760","2007-2011","Without SSI","Number","Social Security Status",1081
"Barkhamsted","0900502760","2007-2011","Without SSI","Percent","Margins of Error",9
"Barkhamsted","0900502760","2007-2011","Without SSI","Percent","Social Security Status",74.9
"Barkhamsted","0900502760","2007-2011","With SSI","Number","Margins of Error",76
"Barkhamsted","0900502760","2007-2011","With SSI","Number","Social Security Status",363
"Barkhamsted","0900502760","2007-2011","With SSI","Percent","Margins of Error",5.6
"Barkhamsted","0900502760","2007-2011","With SSI","Percent","Social Security Status",25.1
"Barkhamsted","0900502760","2008-2012","Total","Number","Margins of Error",124
"Barkhamsted","0900502760","2008-2012","Total","Number","Social Security Status",1424
"Barkhamsted","0900502760","2008-2012","Without SSI","Number","Margins of Error",106
"Barkhamsted","0900502760","2008-2012","Without SSI","Number","Social Security Status",1080
"Barkhamsted","0900502760","2008-2012","Without SSI","Percent","Margins of Error",10
"Barkhamsted","0900502760","2008-2012","Without SSI","Percent","Social Security Status",75.8
"Barkhamsted","0900502760","2008-2012","With SSI","Number","Margins of Error",77
"Barkhamsted","0900502760","2008-2012","With SSI","Number","Social Security Status",344
"Barkhamsted","0900502760","2008-2012","With SSI","Percent","Margins of Error",5.8
"Barkhamsted","0900502760","2008-2012","With SSI","Percent","Social Security Status",24.2
"Barkhamsted","0900502760","2009-2013","Total","Number","Margins of Error",119
"Barkhamsted","0900502760","2009-2013","Total","Number","Social Security Status",1439
"Barkhamsted","0900502760","2009-2013","Without SSI","Number","Margins of Error",108
"Barkhamsted","0900502760","2009-2013","Without SSI","Number","Social Security Status",1091
"Barkhamsted","0900502760","2009-2013","Without SSI","Percent","Margins of Error",9.8
"Barkhamsted","0900502760","2009-2013","Without SSI","Percent","Social Security Status",75.8
"Barkhamsted","0900502760","2009-2013","With SSI","Number","Margins of Error",77
"Barkhamsted","0900502760","2009-2013","With SSI","Number","Social Security Status",348
"Barkhamsted","0900502760","2009-2013","With SSI","Percent","Margins of Error",5.7
"Barkhamsted","0900502760","2009-2013","With SSI","Percent","Social Security Status",24.2
"Barkhamsted","0900502760","2010-2014","Total","Number","Margins of Error",105
"Barkhamsted","0900502760","2010-2014","Total","Number","Social Security Status",1475
"Barkhamsted","0900502760","2010-2014","Without SSI","Number","Margins of Error",94
"Barkhamsted","0900502760","2010-2014","Without SSI","Number","Social Security Status",1105
"Barkhamsted","0900502760","2010-2014","Without SSI","Percent","Margins of Error",3.5
"Barkhamsted","0900502760","2010-2014","Without SSI","Percent","Social Security Status",74.9
"Barkhamsted","0900502760","2010-2014","With SSI","Number","Margins of Error",81
"Barkhamsted","0900502760","2010-2014","With SSI","Number","Social Security Status",370
"Barkhamsted","0900502760","2010-2014","With SSI","Percent","Margins of Error",5.2
"Barkhamsted","0900502760","2010-2014","With SSI","Percent","Social Security Status",25.1
"Barkhamsted","0900502760","2011-2015","Total","Number","Margins of Error",94
"Barkhamsted","0900502760","2011-2015","Total","Number","Social Security Status",1450
"Barkhamsted","0900502760","2011-2015","Without SSI","Number","Margins of Error",101
"Barkhamsted","0900502760","2011-2015","Without SSI","Number","Social Security Status",1054
"Barkhamsted","0900502760","2011-2015","Without SSI","Percent","Margins of Error",8.4
"Barkhamsted","0900502760","2011-2015","Without SSI","Percent","Social Security Status",72.7
"Barkhamsted","0900502760","2011-2015","With SSI","Number","Margins of Error",75
"Barkhamsted","0900502760","2011-2015","With SSI","Number","Social Security Status",396
"Barkhamsted","0900502760","2011-2015","With SSI","Percent","Margins of Error",5.5
"Barkhamsted","0900502760","2011-2015","With SSI","Percent","Social Security Status",27.3
"Barkhamsted","0900502760","2012-2016","Total","Number","Margins of Error",99
"Barkhamsted","0900502760","2012-2016","Total","Number","Social Security Status",1435
"Barkhamsted","0900502760","2012-2016","Without SSI","Number","Margins of Error",97
"Barkhamsted","0900502760","2012-2016","Without SSI","Number","Social Security Status",1039
"Barkhamsted","0900502760","2012-2016","Without SSI","Percent","Margins of Error",8.4
"Barkhamsted","0900502760","2012-2016","Without SSI","Percent","Social Security Status",72.4
"Barkhamsted","0900502760","2012-2016","With SSI","Number","Margins of Error",83
"Barkhamsted","0900502760","2012-2016","With SSI","Number","Social Security Status",396
"Barkhamsted","0900502760","2012-2016","With SSI","Percent","Margins of Error",6.1
"Barkhamsted","0900502760","2012-2016","With SSI","Percent","Social Security Status",27.6
"Beacon Falls","0900903250","2006-2010","Total","Number","Margins of Error",135
"Beacon Falls","0900903250","2006-2010","Total","Number","Social Security Status",2278
"Beacon Falls","0900903250","2006-2010","Without SSI","Number","Margins of Error",149
"Beacon Falls","0900903250","2006-2010","Without SSI","Number","Social Security Status",1720
"Beacon Falls","0900903250","2006-2010","Without SSI","Percent","Margins of Error",7.9
"Beacon Falls","0900903250","2006-2010","Without SSI","Percent","Social Security Status",75.5
"Beacon Falls","0900903250","2006-2010","With SSI","Number","Margins of Error",92
"Beacon Falls","0900903250","2006-2010","With SSI","Number","Social Security Status",558
"Beacon Falls","0900903250","2006-2010","With SSI","Percent","Margins of Error",4.3
"Beacon Falls","0900903250","2006-2010","With SSI","Percent","Social Security Status",24.5
"Beacon Falls","0900903250","2007-2011","Total","Number","Margins of Error",125
"Beacon Falls","0900903250","2007-2011","Total","Number","Social Security Status",2269
"Beacon Falls","0900903250","2007-2011","Without SSI","Number","Margins of Error",126
"Beacon Falls","0900903250","2007-2011","Without SSI","Number","Social Security Status",1710
"Beacon Falls","0900903250","2007-2011","Without SSI","Percent","Margins of Error",6.9
"Beacon Falls","0900903250","2007-2011","Without SSI","Percent","Social Security Status",75.4
"Beacon Falls","0900903250","2007-2011","With SSI","Number","Margins of Error",86
"Beacon Falls","0900903250","2007-2011","With SSI","Number","Social Security Status",559
"Beacon Falls","0900903250","2007-2011","With SSI","Percent","Margins of Error",4
"Beacon Falls","0900903250","2007-2011","With SSI","Percent","Social Security Status",24.6
"Beacon Falls","0900903250","2008-2012","Total","Number","Margins of Error",134
"Beacon Falls","0900903250","2008-2012","Total","Number","Social Security Status",2244
"Beacon Falls","0900903250","2008-2012","Without SSI","Number","Margins of Error",133
"Beacon Falls","0900903250","2008-2012","Without SSI","Number","Social Security Status",1643
"Beacon Falls","0900903250","2008-2012","Without SSI","Percent","Margins of Error",7.4
"Beacon Falls","0900903250","2008-2012","Without SSI","Percent","Social Security Status",73.2
"Beacon Falls","0900903250","2008-2012","With SSI","Number","Margins of Error",103
"Beacon Falls","0900903250","2008-2012","With SSI","Number","Social Security Status",601
"Beacon Falls","0900903250","2008-2012","With SSI","Percent","Margins of Error",4.9
"Beacon Falls","0900903250","2008-2012","With SSI","Percent","Social Security Status",26.8
"Beacon Falls","0900903250","2009-2013","Total","Number","Margins of Error",154
"Beacon Falls","0900903250","2009-2013","Total","Number","Social Security Status",2291
"Beacon Falls","0900903250","2009-2013","Without SSI","Number","Margins of Error",149
"Beacon Falls","0900903250","2009-2013","Without SSI","Number","Social Security Status",1650
